attempt_id,user_id,session_id,mode,question_id,is_correct,answered_at
1,1,u1-s1,practice,44,1,2026-08-22 14:15:37
2,1,u1-s1,practice,35,1,2026-08-22 14:17:54
3,1,u1-s1,practice,6,1,2026-08-22 14:16:45
4,1,u1-s1,practice,38,1,2026-08-22 14:21:36
5,1,u1-s1,practice,28,1,2026-08-22 14:18:10
6,1,u1-s1,practice,3,1,2026-08-22 14:19:30
7,1,u1-s2,practice,10,1,2026-08-22 18:00:53
8,1,u1-s2,practice,14,1,2026-08-22 18:01:16
9,1,u1-s2,practice,22,1,2026-08-22 18:01:54
10,1,u1-s2,practice,7,1,2026-08-22 18:02:08
11,1,u1-s2,practice,6,0,2026-08-22 18:06:25
12,1,u1-s2,practice,25,0,2026-08-22 18:04:36
13,1,u1-s2,practice,42,1,2026-08-22 18:10:40
14,1,u1-s2,practice,23,1,2026-08-22 18:11:32
15,1,u1-s2,practice,38,1,2026-08-22 18:06:03
16,1,u1-s3,practice,30,1,2026-08-22 22:54:31
17,1,u1-s3,practice,41,1,2026-08-22 22:55:22
18,1,u1-s3,practice,24,1,2026-08-22 22:56:54
19,1,u1-s3,practice,11,1,2026-08-22 23:00:04
20,1,u1-s3,practice,43,1,2026-08-22 22:57:10
21,1,u1-s3,practice,23,0,2026-08-22 23:05:42
22,1,u1-s3,practice,14,0,2026-08-22 22:55:59
23,1,u1-s3,practice,18,1,2026-08-22 22:55:52
24,1,u1-s3,practice,5,0,2026-08-22 23:03:09
25,1,u1-s4,wrong_review,21,1,2026-08-24 01:07:27
26,1,u1-s4,wrong_review,14,1,2026-08-24 01:07:42
27,1,u1-s4,wrong_review,42,0,2026-08-24 01:13:00
28,1,u1-s4,wrong_review,32,1,2026-08-24 01:13:00
29,1,u1-s4,wrong_review,26,1,2026-08-24 01:15:05
30,1,u1-s4,wrong_review,30,1,2026-08-24 01:08:48
31,1,u1-s4,wrong_review,10,1,2026-08-24 01:17:02
32,1,u1-s4,wrong_review,17,0,2026-08-24 01:17:16
33,1,u1-s4,wrong_review,9,1,2026-08-24 01:19:00
34,1,u1-s4,wrong_review,16,0,2026-08-24 01:08:50
35,1,u1-s4,wrong_review,35,1,2026-08-24 01:11:24
36,1,u1-s4,wrong_review,38,1,2026-08-24 01:22:36
37,1,u1-s4,wrong_review,28,0,2026-08-24 01:30:24
38,1,u1-s4,wrong_review,41,1,2026-08-24 01:12:36
39,1,u1-s5,practice,33,1,2026-08-25 08:17:30
40,1,u1-s5,practice,12,1,2026-08-25 08:20:38
41,1,u1-s5,practice,45,0,2026-08-25 08:17:30
42,1,u1-s5,practice,7,1,2026-08-25 08:21:48
43,1,u1-s5,practice,41,1,2026-08-25 08:21:40
44,1,u1-s5,practice,20,0,2026-08-25 08:28:36
45,1,u1-s5,practice,43,0,2026-08-25 08:21:40
46,1,u1-s5,practice,13,1,2026-08-25 08:27:56
47,1,u1-s5,practice,10,0,2026-08-25 08:20:00
48,1,u1-s6,practice,9,1,2026-08-27 17:10:35
49,1,u1-s6,practice,45,1,2026-08-27 17:11:12
50,1,u1-s6,practice,43,0,2026-08-27 17:12:21
51,1,u1-s6,practice,31,1,2026-08-27 17:11:32
52,1,u1-s6,practice,36,1,2026-08-27 17:10:00
53,1,u1-s6,practice,11,1,2026-08-27 17:12:54
54,1,u1-s6,practice,17,1,2026-08-27 17:10:10
55,1,u1-s6,practice,34,1,2026-08-27 17:21:00
56,1,u1-s6,practice,28,1,2026-08-27 17:11:42
57,1,u1-s6,practice,14,0,2026-08-27 17:29:00
58,1,u1-s6,practice,35,1,2026-08-27 17:22:45
59,1,u1-s6,practice,13,1,2026-08-27 17:28:00
60,1,u1-s6,practice,20,1,2026-08-27 17:26:07
61,1,u1-s7,practice,27,1,2026-08-28 03:45:53
62,1,u1-s7,practice,13,0,2026-08-28 03:45:46
63,1,u1-s7,practice,7,1,2026-08-28 03:46:42
64,1,u1-s7,practice,43,1,2026-08-28 03:46:48
65,1,u1-s7,practice,28,1,2026-08-28 03:48:45
66,1,u1-s7,practice,23,1,2026-08-28 03:46:54
67,1,u1-s7,practice,41,1,2026-08-28 03:59:00
68,1,u1-s7,practice,45,0,2026-08-28 03:47:56
69,1,u1-s7,practice,30,1,2026-08-28 03:56:51
70,1,u1-s7,practice,4,0,2026-08-28 03:48:30
71,1,u1-s7,practice,42,0,2026-08-28 04:06:38
72,1,u1-s7,practice,36,1,2026-08-28 03:57:24
73,1,u1-s8,wrong_review,11,1,2026-08-29 11:59:39
74,1,u1-s8,wrong_review,25,0,2026-08-29 12:01:40
75,1,u1-s8,wrong_review,1,1,2026-08-29 12:03:03
76,1,u1-s8,wrong_review,17,1,2026-08-29 12:00:16
77,1,u1-s8,wrong_review,30,1,2026-08-29 11:59:25
78,1,u1-s9,exam,4,1,2026-08-31 21:02:15
79,1,u1-s9,exam,38,1,2026-08-31 21:02:06
80,1,u1-s9,exam,31,1,2026-08-31 21:01:54
81,1,u1-s9,exam,33,1,2026-08-31 21:03:40
82,1,u1-s9,exam,34,1,2026-08-31 21:07:50
