question_id,domain
1,platform
2,platform
3,platform
4,platform
5,platform
6,platform
7,ingestion
8,ingestion
9,ingestion
10,ingestion
11,ingestion
12,ingestion
13,ingestion
14,transformation
15,transformation
16,transformation
17,transformation
18,transformation
19,transformation
20,transformation
21,transformation
22,transformation
23,jobs
24,jobs
25,jobs
26,jobs
27,jobs
28,jobs
29,cicd
30,cicd
31,cicd
32,cicd
33,cicd
34,cicd
35,monitoring
36,monitoring
37,monitoring
38,monitoring
39,monitoring
40,monitoring
41,governance
42,governance
43,governance
44,governance
45,governance
